2019-04-02;2467510;58563324;102;price<=>price<br>price<=>3100<br>price[currency]<=>PLN<br>rent<=>price<br>rent<=>600<br>rent[currency]<=>PLN<br>deposit<=>price<br>deposit<=><br>deposit[currency]<=><br>m<=>100<br>rooms_num<=>3<br>building_type<=>tenement<br>floor_no<=>floor_2<br>building_floors_num<=>4<br>building_material<=>brick<br>windows_type<=>plastic<br>heating<=>gas<br>build_year<=>1915<br>construction_status<=>ready_to_use<br>free_from<=><br>rent_to_students<=><br>equipment_types<=><br>security_types<=><br>media_types<=>cable-television<->internet<->phone<br>extras_types<=>balcony<->basement<->separate_kitchen
2019-04-02;530533;58563976;401;price<=>price<br>price<=>360000<br>price[currency]<=>PLN<br>m<=>3000<br>price_per_m<=>120<br>type<=><br>dimensions<=><br>fence<=>n<br>location<=><br>media_types<=><br>access_types<=><br>vicinity_types<=>
2019-04-03;131944;58571784;201;price<=>price<br>price<=>288000<br>price[currency]<=>PLN<br>terrain_area<=>1100<br>m<=>230<br>market<=>secondary<br>rooms_num<=>7<br>building_type<=>detached<br>floors_num<=>one_floor<br>building_material<=><br>build_year<=><br>garret_type<=><br>roof_type<=><br>roofing<=><br>construction_status<=>ready_to_use<br>windows_type<=>plastic<br>location<=><br>rent<=>price<br>rent<=><br>rent[currency]<=>PLN<br>free_from<=><br>recreational<=><br>security_types<=><br>fence_types<=><br>heating_types<=><br>media_types<=><br>access_types<=><br>vicinity_types<=><br>extras_types<=><br>price_per_m<=>1252.17<br>is_bungalow<=>0
2019-04-03;772713;58581708;101;price<=>price<br>price<=>495000<br>price[currency]<=>PLN<br>m<=>88<br>rooms_num<=>4<br>market<=>secondary<br>building_type<=>block<br>floor_no<=>floor_2<br>building_floors_num<=>3<br>building_material<=>brick<br>windows_type<=>plastic<br>heating<=>urban<br>build_year<=>1999<br>construction_status<=>ready_to_use<br>rent<=>price<br>rent<=><br>rent[currency]<=><br>building_ownership<=>full_ownership<br>free_from<=><br>media_types<=>internet<br>security_types<=><br>equipment_types<=><br>extras_types<=>balcony<->usable_room<br>price_per_m<=>5625
2019-04-07;190178;58632504;101;price<=>price<br>price<=>210000<br>price[currency]<=>PLN<br>m<=>40.2<br>rooms_num<=>2<br>market<=>secondary<br>building_type<=>block<br>floor_no<=>floor_4<br>building_floors_num<=>4<br>building_material<=>concrete_plate<br>windows_type<=>plastic<br>heating<=>urban<br>build_year<=><br>construction_status<=>ready_to_use<br>rent<=>price<br>rent<=>350<br>rent[currency]<=>PLN<br>building_ownership<=>full_ownership<br>free_from<=><br>media_types<=><br>security_types<=><br>equipment_types<=><br>extras_types<=>balcony<->usable_room<br>price_per_m<=>5223.88
2019-04-08;2297140;58652084;101;price<=>price<br>price<=>450000<br>price[currency]<=>PLN<br>m<=>43<br>rooms_num<=>2<br>market<=>secondary<br>building_type<=>apartment<br>floor_no<=>floor_5<br>building_floors_num<=>10<br>building_material<=><br>windows_type<=>plastic<br>heating<=>urban<br>build_year<=>2018<br>construction_status<=><br>rent<=>price<br>rent<=><br>rent[currency]<=>PLN<br>building_ownership<=><br>free_from<=><br>media_types<=>internet<->phone<br>security_types<=><br>equipment_types<=><br>extras_types<=>balcony<->garage<->lift<br>price_per_m<=>10465.12
2019-04-08;2297140;58652128;101;price<=>price<br>price<=>500000<br>price[currency]<=>PLN<br>m<=>48.3<br>rooms_num<=>3<br>market<=>secondary<br>building_type<=><br>floor_no<=>floor_3<br>building_floors_num<=>3<br>building_material<=><br>windows_type<=><br>heating<=><br>build_year<=>2009<br>construction_status<=><br>rent<=>price<br>rent<=><br>rent[currency]<=>PLN<br>building_ownership<=><br>free_from<=><br>media_types<=><br>security_types<=><br>equipment_types<=><br>extras_types<=>balcony<br>price_per_m<=>10351.97
2019-04-09;2992683;58665624;401;price<=>price<br>price<=>350000<br>price[currency]<=>PLN<br>m<=>2309<br>price_per_m<=>194<br>type<=>commercial<br>dimensions<=><br>fence<=>n<br>location<=><br>media_types<=>electricity<->sewage<->water<br>access_types<=><br>vicinity_types<=>
2019-04-09;2917026;58666912;401;price<=>price<br>price<=>15500000<br>price[currency]<=>PLN<br>m<=>180000<br>price_per_m<=>86<br>type<=>building<br>dimensions<=><br>fence<=>n<br>location<=>suburban<br>media_types<=>electricity<->gas<->sewage<->water<br>access_types<=>asphalt<br>vicinity_types<=>forest
2019-04-09;849803;58668544;102;price<=>price<br>price<=>1800<br>price[currency]<=>PLN<br>rent<=>price<br>rent<=>320<br>rent[currency]<=>PLN<br>deposit<=>price<br>deposit<=><br>deposit[currency]<=>PLN<br>m<=>89.9<br>rooms_num<=>4<br>building_type<=>tenement<br>floor_no<=>floor_2<br>building_floors_num<=>4<br>building_material<=>brick<br>windows_type<=>plastic<br>heating<=><br>build_year<=><br>construction_status<=><br>free_from<=><br>rent_to_students<=><br>equipment_types<=><br>security_types<=><br>media_types<=><br>extras_types<=>basement
